current_date,job_title,employer,workplace,responsibilities,requirements,optional_req,expiration_date
2023-08-25,Oracle Developer,Webellian Sp. z o.o.,Poland (remote work),"
- Designing, implementing and testing ETL processes.
- Data modeling of Global Data Model - Data Store and Data Marts (Star Schema/Snowflake).
- Integration of data from multiple sources.
- SQL tuning, identification, and resolution of bottlenecks in ongoing processes.
- Data analysis.
- Interact with business users on regular basis to consolidate and analyze the requirements.
- Incident and problem resolution according to project needs.
- Production maintenance.","
- MS degree in Computer Science, Engineering, or a related subject.
- Experience with Oracle Version 10g, 11g, 12c.
- Strong experience with Oracle functions, procedures, triggers, packages & performance tuning.
- Hands-on development using Oracle PL/SQL.
- Performance tune SQL's, application programs, and instances.
- AWS Cloud environment knowledge.
- Knowledge of data warehouse modeling concepts.
- Knowledge of the insurance business.
- Experience with code repository tools.
- Experience with PL/SQL is a benefit.
- Knowledge of SAS Data Integration Studio or Microstrategy is a plus.
- Good English speaking/writing skills are a must, English classes available",,01 Sep 2023
2023-08-25,Data Scientist (Credit),Revolut LTD,Poland (remote work),"
- Building models for full Retail Credit lifecycle
- Improving existing algorithms and building new Proofs of Concept
- Delivering real impact to the product through rigorous data-driven solutions
- Researching and then delivering PoCs into data products
- Collaborating with product owners, engineers, and data scientists to continually solve complex data problems","
- Experience working in a data science team of a credit institution
- A Bachelor's/Master's/PhD in STEM (Mathematics, Computer Science, Engineering)
- Excellent knowledge of data science tools, including, python coding, SQL and production tools
- A deep understanding of probability and statistics fundamentals
- A big-picture mindset to correctly diagnose problems, produce research, and discover solutions
- Excellent communication and collaboration skills to partner with Product Owners and business heads",,21 Sep 2023
2023-08-25,Data Scientist (NLP Deep Learning Engineer),Revolut LTD,Poland (remote work),"
- Building an in-app personal assistant from scratch
- Working on user-focused features
- Delivering real impact to the product through rigorous data-driven solutions
- Collaborating with product owners, engineers, and data scientists to continually solve complex data problems","
- Experience in Deep Learning within Natural Language Processing area and Large Language Models
- A bachelor's degree in a STEM major (mathematics, computer science, engineering)
- Excellent knowledge of data science (python, SQL) and production tools
- A deep understanding of probability and statistics fundamentals
- Big picture thinking to correctly diagnose problems and productionising research
- Excellent communication and collaboration skills to partner with Product Owners and business heads","
- A master's or PhD in a quantitative discipline
- Strong experience with additional programming languages, such as Java, Scala, C++
- Experience at a large tech company worth >$15B
- School/University Olympic medal competitions in physics, maths, economics or programming",21 Sep 2023
2023-08-25,Data Scientist,CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poland (remote work),"
- Processing data and automation of this processing using Python and GCP ecosystem technologies, regularly versioning code (GitHub), and then drawing and presenting conclusions
- Creating and optimizing predictive, segmentation, and recommendation models that solve specific business problems
- Designing and implementing each step of the modeling process (EDA, feature engineering, feature selection, model training, deployment, monitoring, explainability)
- Participating in the processes of model deployment to production and its maintenance
- Visualizing the results of your work using Jupyter Notebook, Tableau or DataStudio
- Collaborating with the business and engineering teams as an IT member","
- Graduated with a degree strongly related to statistical/mathematical modeling, such as Mathematics, Physics, Economics, Computer Science or a similar major
- Have at least 2 years of experience as Data Scientist or any other related position
- Were responsible for implementing projects independently
- Use Python to process data and create machine-learning models
- Know and understand machine learning algorithms and can apply them in practice
- Are familiar with SQL and have experience (or interest) in big data analytics in a cloud environment
- Are able to create charts/visualizations that present analysis results in a simple and intuitive way
- Have a strong desire to learn and develop their skills
- Know English at B2 level",,22 Sep 2023
2023-08-25,Big Data Engineer (Data & AI),CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poland (remote work),"
- Working on mentioned above systems and processes","
- Are programming in languages such as Java or Scala, as well as Python
- Have experience in Big Data ecosystems, e.g. Hadoop, Spark, Kafka, Airflow, Druid
- Use good practices (clean code, code review, TDD, CI/CD)
- Navigate efficiently within Unix/Linux systems
- Are interested in the application of ML AI
- Possess a positive attitude and team-working skills
- Are eager for personal development and keep their knowledge up to date
- Know English at B2 level","
- Knowledge of GCP or other public cloud environments (Dataproc, Dataflow, Composer, BigQuery, Pubsub)",22 Sep 2023
2023-08-25,Data Engineer - Data Science Hub,Allegro,Kraków,"
- You will be actively responsible for building data processing tools for modeling and analysis – in close cooperation with both Data Science teams
- You will be supporting both Data Science teams in the development of data sources for ad-hoc analyses and Machine Learning projects
- You will process terabytes of data using Google Cloud Platform BigQuery, Composer, Dataflow and PySpark as well as optimize processes in terms of their performance and GCP cloud processing costs
- You will collect process requirements from project groups and automate tasks related to preprocessing and data quality monitoring, prediction serving, as well as Machine Learning model monitoring and retraining
- You will be responsible for the engineering quality of each project and you will cooperate with your colleagues on the engineering excellence","
- We are looking for people who:
- Have ability to fluently work with SQL in traditional engines (e.g. MySQL, PostgreSQL) or cloud engines (e.g. BigQuery, Snowflake). You will be working with SQL on a daily basis.
- Have experience in Python programming and are familiar with software engineering best practices (PEP8, clean architecture, code review, CI/CD etc.)
- Have positive attitude and ability to work in a team
- Are eager to constantly develop and broaden their knowledge","
- Experience with Big Data ecosystem (Spark, Airflow)
- Knowledge of BigData tools in Google Cloud Platform or other public cloud (e.g AWS, Azure)
- Commercial experience in DevOps and CI/CD practice (e.g. GitHub Actions) in the area of ML/AI
- Experience with cloud applications architecture",21 Sep 2023
2023-08-25,Data Engineer - Data&AI,Allegro,Kraków,"
- We are seeking a skilled and motivated Data Engineer to join our team. The successful candidate will have a solid understanding of Snowflake, Tableau, SQL, and Python, with nice-to-have knowledge in Keboola, Spark, and Google Cloud. Your main responsibility will be building data pipelines, enhancing existing jobs, and leading a crucial migration project from Snowflake to Google Cloud Platform (GCP) as well as:
- Design, develop, and maintain robust, scalable data pipelines using Snowflake, Python, SQL, and other relevant technologies
- Oversee a large-scale migration from Snowflake to Google Cloud Platform, ensuring data integrity and minimal disruption to ongoing operations
- Respond to business data requests promptly and efficiently, prioritising tasks as directed by the team leader and product owner
- Carry out reverse engineering when necessary, especially in instances where documentation may be lacking
- Ensure that the data solutions are aligned with the company's business requirements and strategic goals
- Play an active role in decision-making processes regarding the selection and implementation of data frameworks","
- We are looking for people who:
- Have Bachelor's degree in Computer Science, Information Systems, or a related field. Advanced degree is a plus
- Have proven experience as a Data Engineer or in a similar role
- Can demonstrate strong proficiency in Snowflake, SQL, Python and other engineering tools
- Are experienced in Keboola, Spark, and Google Cloud Platform is a plus
- Owns ability to perform reverse engineering and solve complex problems
- Have strong communication skills, capable of conveying complex ideas in a clear, concise manner
- Are detail-oriented and capable of working in a fast-paced, dynamic environment",,21 Sep 2023
2023-08-25,Business Intelligence ETL Database Developer with English & German,Volkswagen Group Services sp. z o.o.,Cała Polska (praca zdalna),"
- Opracowywanie zapytań i doradztwo fachowe,
- Samodzielna analiza danych i procesów,
- Tworzenie modeli danych,
- Tworzenie procesów i narzędzi ETL,
- Definiowanie struktur danych w bazie i narzędziach BI,
- Fachowa współpraca z IT-Service odpowiedzialnym za omówienie procesów i logiki,
- Tworzenie dokumentacji.","
- Bardzo dobre umiejętności analityczne,
- Bardzo dobra znajomość SQL (pisanie zapytań i tworzenie obiektów bazodanowych, tworzenie jobów i procedur),
- Znajomość języka angielskiego i niemieckiego na poziomie min. B2,
- Doświadczenie w koncepcji relacyjnych modeli danych,
- Doświadczenie w administracji baz danych,
- Dobra znajomość języków programowania JAVA lub Python lub/oraz Bash.","
- Umiejętność administracji/zarządzania Linux.",24 wrz 2023
2023-08-25,Developer PL/SQL z niemieckim,KZ INSPIRE,Cała Polska (praca zdalna),"
- Tworzenie wysokiej jakości kodu
- Projektowanie rozwiązań IT
- Przygotowywanie dokumentacji technicznej i funkcjonalnej","
- Minimum 3 letnie doświadczenie w tworzeniu systemów informatycznych
- Samodzielność działania, kreatywność
- Znajomość technologii programowania PL/SQL
- Znajomość bazy danych Oracle (11-21)
- Dobra znajomość metodologii software developmentu
- Znajomość języka niemieckiego na poziomie C1","
- Wiedza inżynierska zwłaszcza z odpowiednimi narzędziami jak np. Volare
- Znajomość programowania Oracle APEX będzie dodatkową zaletą",04 wrz 2023
2023-08-25,Data Warehouse Analyst,ITDS Polska Sp. z o.o.,Poland (remote work),"
- Building a corporate Data Mark for the risk area
- Collecting user needs and mapping them to the information content of data warehouse areas
- (mainly Risk issues) or reports
- Making and testing the prototype of the analyzed area on production data (SQL in the established template)
- Setting up a process for monitoring, tracking, and trending department data
- Determining the target data model for the analyzed change
- Implementing and using the analytics software and systems to support the department’s goals","
- 3+ years of experience in a similar role
- Advanced knowledge of SQL
- Expertise in best practices, data warehouses and reporting techniques
- Experience in data modeling and DWH processes
- Past experience in the banking area (experience in the risk area is nice to have)
- Fluent Polish",,13 Sep 2023
2023-08-25,SQL Developer,Mindbox S.A.,Kraków,"
- Help write and optimize in-application SQL statements
- Ensure performance, security, and availability of databases
- Prepare documentations and specifications
- Handle common database procedures such as upgrade, backup, recovery, migration, etc.
- Profile server resource usage, and optimize and tweak as necessary
- Collaborate with other team members and stakeholders","
- Strong proficiency with SQL and its variation among popular databases
- Experience with some of the modern relational databases
- Skilled at optimizing large complicated SQL statements
- Knowledge of best practices when dealing with relational databases
- Capable of configuring popular database engines and orchestrating clusters as necessary
- Ability to plan resource requirements from high level specifications
- Capable of troubleshooting common database issues
- Familiar with tools that can aid in profiling and optimizing server resource usage.
- Strong in MS SSIS package development and implementation
- Expert in coding SSIS and SQL
- Experience in SSIS jobs and scheduling
- Should have GCP platform experience like BigQuery/GKE and pipeline design and build.
- Experience in Python and Pyspark is preferred.
- Strong ETL development experience for at least 4
- SQL DBA experience will be a plus.",,20 Sep 2023
2023-08-25,C#.NET/SQL Developer,PROFI CREDIT POLSKA S.A.,małopolskie,"
- Rozwój nowych modułów wg przyjętych standardów,
- Utrzymanie istniejących aplikacji,
- Udział w nowych projektach w obszarze finansów.","
- Bardzo dobra znajomość C# ASP .NET Core 6+ / .Net Framework,
- Bardzo dobra znajomość zapytań do relacyjnych baz danych SQL,
- Dobra znajomość środowiska DOCKER
- Znajomość architektury mikroserwisów, REST API, WCF
- Zdolność do wielozadaniowości poprzez różne zadania i zmieniające się priorytety,
- Kreatywne podejście do rozwiązywania powstających problemów,
- Umiejętność pracy pod presją czasu,
- Komunikatywność połączona z umiejętnością oraz chęcią pracy zespołowej,
- Rozumienie potrzeb biznesu,
- Umiejętność pisania testów jednostkowych,
- Bardzo dobra znajomość platformy IDE Visual Studio,
- Znajomość GIT,","
- Mile widziane znajomość kontrolek DevExpress",09 wrz 2023
2023-08-25,Programista / Programistka baz danych,TAURON Obsługa Klienta sp. z o.o.,Kraków,"
- Administracja rozbudowaną hurtownią danych
- Administracja oraz wsparcie aplikacji BI
- Realizacja zgłoszeń użytkowników zarejestrowanych na portalu Help Desk
- Analiza dokumentacji projektowych
- Wsparcie oraz uczestnictwo w projektach informatycznych
- Tworzenie i aktualizacja dokumentacji technicznych poprojektowych","
- Wykształcenie min. średnie, preferowane wyższe kierunkowe (informatyka)
- Dwuletnie doświadczenie w pracy na stanowisku i z zakresem obowiązków obejmującym zarządzanie/administrację relacyjnymi bazami danych lub budowę procesów ETL
- Znajomość bazy danych Oracle
- Znajomość zagadnień związanych z optymalizacją procesów przetwarzania danych
- Praktyczna znajomość języków SQL, PL/SQL
- Znajomość narzędzi ETL i zagadnień związanych z przetwarzaniem wielkich wolumenów danych
- Prawo jazdy kat. B
- J. angielski – na poziomie umożliwiającym posługiwanie się angielskojęzyczną dokumentacją
- Znajomość SQL Developer, Oracle Data Integrator ODI, Oracle BI
- Znajomość obsługi systemów unixowych
- Umiejętność pracy samodzielnej oraz zespołowej
- Zdolność analitycznego myślenia
- Odpowiedzialność, kreatywność i komunikatywność
- Rzetelność oraz umiejętność pracy pod presją czasu
- Dyspozycyjność","
- Znajomość rozwiązań Business Intelligence
- Znajomość platformy serwerowej Oracle WebLogic
- Znajomość zagadnień i narzędzi Big Data
- Znajomość zasad ITIL",08 wrz 2023
2023-08-25,Azure Databricks Data Engineer,Nordcloud sp zoo,Kraków,"
- Designing, architecting, and implementing modern cloud-based pipelines for our customers
- Making data accessible and usable for a new wave of data-powered apps and services","
- 5+ years of professional programming experience and hands-on experience in building modern data platforms/pipelines
- At least one programming language: Python/Scala/Java
- Experience in job orchestration (Airflow, Composer, etc.)
- Experience in Databricks
- Experience in Azure; (AWS, Google Cloud would be a plus)
- Experience in Data Engineering related technology stack (Azure Synapse, ADF, Dataflow, Pub/Sub- this is not an exhaustive list)
- Good knowledge of data storage and processing engines in the selected Cloud provider
- Consultancy experience
- Previous experience gained in mid-size/large, international companies
- Fluent communication skills in English","
- OPS knowledge - Kubernetes/Docker/CI/CD - how to efficiently put things into prod
- Basic IaaC skills (Terraform or similar tools)
- Testing skills (writing automated tests/data quality checks)
- Basic low-tech data analytics skills - Excel/pandas
- Experience in SQL
- Data modeling (Kimball, Inmon, Data Vault, etc.)
- Advanced SQL in any SQL dialect (ANSI SQL/specific database specific dialects, Spark SQL, Hive/Impala, Presto/Trino)
- Experience in building ETL processes for data warehousing solutions
- Experience with MongoDB or Cassandra
- Familiarity with data lake architectures
- Experience with Snowflake
- Active (knowledge-proven) certificates",16 Sep 2023
2023-08-25,Data Engineer (with Scala),Capgemini Polska,Kraków,"
- translating complex functional and technical requirements into detailed design,
- implementation of scalable and high-performance data processing solutions using Spark and Scala,
- design and implementation of software to process large and unstructured datasets (noSQL, Data Lake Architecture),
- optimizationand testing of modern Big Data solutions, also in cloud and Continuous Delivery / Continuous Integration environment.","
- at least 3 years of commercial experience working in projects in Data Engineering, Big Data and/or Cloud environment using Apache Spark and Scala,
- knowledge of at least one (non)relational database system and SQL language,
- familiarity with one or more of the listed (or similar) technologies and tools: Oozie, Hive, Hadoop, Sqoop, Kafka, Flume, Hbase,
- very good command of English.",,09 Sep 2023
2023-08-25,Data & BI Developer,summ-it s.a.,"Opolska 110, Prądnik Czerwony, Kraków","
- Analiza wymagań biznesowych i projektowanie rozwiązań hurtowni danych,
- Projektowanie oraz implementację procesów ETL,
- Projektowanie hurtowni danych Data Mart,
- Tworzenie semantycznych modeli danych na platformie Microsoft (Azure Analysis Services),
- Przygotowanie modeli danych i raportów w Power BI z wykorzystaniem języków DAX, M,
- Praca z systemami cloud oraz on premise,
- Dokumentacja techniczna rozwiązań.","
- Wykształcenie wyższe informatyczne lub pokrewne,
- Roczne doświadczenia w realizacji projektów hurtowni danych,
- Bardzo dobra znajomość zagadnień związanych z projektowaniem, tworzeniem relacyjnych oraz analitycznych systemów baz danych opartych o MS SQL Server,
- Bardzo dobra znajomość analitycznych systemów baz danych opartych o MS SQL Server,
- Umiejętność tworzenia oraz doświadczenie w optymalizacji zapytań T-SQL,
- Doświadczenie w przetwarzaniu danych za pomocą Azure Databricks, Azure Synapse (Python i Scala),
- Dobra znajomość Power BI,
- Samodzielność i zdolność analitycznego myślenia,
- Znajomość języka angielskiego na poziomie min. B2,
- Odpowiedzialność za powierzone zadania,
- Umiejętność pracy w grupie, otwartość, komunikatywność,
- Innowacyjność i kreatywność przy wdrażaniu nowych rozwiązań,
- Odporność na stres,
- Gotowość do ciągłego rozwoju.","
- Doświadczenie w tworzeniu hurtowni danych oraz OLAP na platformie PaaS,
- Microsoft Certified: Power BI Data Analyst Associate,
- Microsoft Certified: Azure Data Engineer Associate (DP203),
- Microsoft Certified: Azure Enterprise Data Analyst Associate.",26 sie 2023
2023-08-25,Data Engineer,CHABRE IT SERVICES SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ,Poland (remote work),"
- Designing, implementing, and maintaining data processing solutions for the Risk department in the bank, including Machine Learning-based models. Creating scalable systems using Python and GCP
- Managing the data warehouse, designing the database structure, optimizing SQL queries, and ensuring data availability and consistency for users. Focus on risk area
- Implementing and configuring the DBT tool for data transformation. Creating and managing DBT models to facilitate easier data transformation, particularly in risk-related projects","
- Proficiency in Python
- Experience with GCP (Google Cloud Platform)
- SQL skills in the field of Data Engineering
- Knowledge of data warehousing","
- Familiarity with DBT
- Experience in new technology companies such as Spotify, Airbnb, Amazon, Google, other large organizations, and startups",09 Sep 2023
2023-08-25,AWS Data Engineer,Capgemini Polska,Kraków,"
- design and implementation of solutions processing large and unstructured datasets (Data Mesh , Data Lake or Streaming Architecture),
- implementation, optimization and testing of modern DWH/Big Data solutions based on AWS cloud platform and Continuous Delivery / Continuous Integration environment,
- data processing efficiency improvement, migrations from on-prem to public cloud platforms.","
- At least 3 years of experience in Big Data or Cloud projects in the areas of processing and visualization of large and unstructured datasets (in different phases of Software Development Life Cycle),
- practical knowledge of the AWS cloud in Storage, Compute (+Serverless), Networtking and DevOps areas supported by commercial project work experience,
- theoretical AWS cloud knowledge supported with certificates (for example DVA-C01, SAA-C02, SAP-C01, VDS-C01, DAS-C01),
- familiarity with several of the following technologies: Glue, Redshift, Lambda, Athena, S3, Snowflake, Docker, Terraform, CloudFormation, Kafka, Airflow, Spark,
- at least basic knowledge of one of this programming languages: Python/Scala/Java/bash,
- very good command of English (German language would be an advantage).",,09 Sep 2023
